[03/07/2022 - 22:09] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1064 | Callback: Indirect_FromCallback
[03/07/2022 - 22:10] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1064 | Callback: Indirect_FromCallback
[03/07/2022 - 22:11] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1064 | Callback: Indirect_FromCallback
[03/07/2022 - 22:11] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1064 | Callback: Indirect_FromCallback
[03/07/2022 - 23:53] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[03/07/2022 - 23:53] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[03/07/2022 - 23:53] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[03/07/2022 - 23:54] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[04/07/2022 - 00:02] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[04/07/2022 - 00:02] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[04/07/2022 - 10:40] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1054 | Callback: 
[04/07/2022 - 10:51] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
[04/07/2022 - 10:58] [MySQL]: Houve um erro ao realizar uma operação no banco de dados. Error 1062 | Callback: Indirect_FromCallback
